Pred	Coding.Potential	ORF.Max.Len	ORF.Max.Cov	Seq.lnc.Dist	Seq.pct.Dist	Seq.Dist.Ratio	Signal.Peak	SNR	Signal.Min	Signal.Q1	Signal.Q2	Signal.Max
SPENT000001	NonCoding	9.99999999473644e-08	135	0.189340813464236	-88.4149718291244	-79.481722438651	1.11239375690894	1.00054751681829	0.0962285405511671	0.753774607130466	0.886172293450944	1.04112071426098	2.52342887854714
SPENT000002	Coding	0.988179098677952	816	0.559670781893004	-11.7233578874314	-10.3469435272724	1.13302617884509	7.39496707	0.352020037589586	1.58589953710618	1.81016368512971	2.08368208472865	11.6815912161478
SPENT000003	Coding	0.984093115278655	816	0.544362908605737	-11.7233977167587	-10.345930161456	1.13314100654135	6.9193496750622	0.32098774584078	1.75519786321856	1.94540301841402	2.15554859508153	10.6759462132579
SPENT000004	Coding	0.960305839806972	354	0.624338624338624	-31.2260226471176	-28.2181957885943	1.10659174955966	0.896454840000002	0.110222265462511	0.677431780900311	0.773699795571724	0.837202869803852	2.10064424657219
SPENT000005	Coding	0.952675078593428	414	0.395038167938931	-25.5473849713098	-22.8075377884718	1.12012902086357	5.96742137964045	0.395566763371201	1.22255760246076	1.35605719800292	1.48707994988974	5.96742137964045
SPENT000006	Coding	0.591805888147221	279	0.192946058091286	-40.3334804858382	-36.4200033906829	1.10745405631007	6.3640744489265	0.312109109041504	1.75115497114465	1.89255559406239	2.10372352805176	11.0455813486175
SPENT000007	Coding	0.664774354557408	777	0.192279138827023	-12.5611367425783	-10.9456453044589	1.1475921604605	3.34299217000001	0.0559531478260492	4.21973262151367	4.893043784958	5.70497331710656	17.5937909276618
SPENT000008	Coding	0.679162484643387	279	0.238665526090676	-40.3334804858382	-36.4200033906829	1.10745405631007	6.05610881800438	0.371879571310778	1.37523287712384	1.51831493714226	1.87179536588556	7.54864394834619
SPENT000009	Coding	0.525672860315872	279	0.376010781671159	-40.3130276949113	-36.4128126738303	1.107111061593	8.20245729212795	0.810456929916603	0.790784763593281	1.0282059295132	1.25308428262394	8.20245729212795
SPENT000010	Coding	0.877930255836064	873	0.202083333333333	-10.8470060963569	-9.58239263112819	1.1319726203997	12.3686639251926	0.199323692614222	4.93038092357575	5.59825424022907	6.50355125440786	16.6936287477194
SPENT000011	Coding	0.974906459835553	1239	0.448263386396527	-7.01717547598004	-6.16443750986755	1.13833183721102	10.2793478657971	0.259297040734599	3.20823516243042	3.65142022394371	4.27548505070347	10.836491978627
SPENT000012	Coding	0.974401720020241	1239	0.432762836185819	-7.01717547598004	-6.16443750986755	1.13833183721102	10.4885558593198	0.255668156095904	3.21471314238914	3.72721304852141	4.54769180529607	10.4885558593198
SPENT000013	Coding	0.975265356533439	1407	0.207491520424716	-5.98315745354516	-5.25618680498159	1.13830761263557	27.2706062540232	0.275440532860268	7.61089303670169	8.52163827343838	10.0074833902587	32.2778350515595
SPENT000014	Coding	0.975404547053557	1245	0.86218836565097	-7.13468329722071	-6.24092820357999	1.14320868058185	20.2091405340622	0.978957526432056	1.53969875416856	1.75288716151066	2.00394241636957	20.2091405340623
